_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
heffen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	0.055140531482736704	-0.4163598011465833	NA	NA	nobound	515	lex	5_5	1	no	FOC	375	nav	4_4	218	heffen	0.10958992453969858	BOW
heffen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	0.049110133034397624	-0.4134253699271588	NA	NA	nobound	515	lex	5_5	1	no	FOC	515	all	4_4	218	heffen	0.10818850152968933	BOW
heffen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.08793667287803343	-0.1418745610436911	NA	NA	nobound	427	all	5_5	1	weight	5000	5000	nav	4_4	218	heffen	0.07808833621968651	BOW
heffen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	0.26459243353620887	-0.6850765184957639	NA	NA	nobound	427	all	5_5	1	weight	5000	5000	all	4_4	218	heffen	0.12343329825582924	BOW
heffen.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	0.08517860101946977	-0.16615325063622652	NA	NA	nobound	427	all	5_5	1	weight	FOC	221	nav	4_4	218	heffen	0.07922037448225537	BOW
heffen.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	0.07233008698399646	-0.1632276675650975	NA	NA	nobound	427	all	5_5	1	weight	FOC	427	all	4_4	218	heffen	0.08632074787260348	BOW
heffen.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	-0.5314324203297768	0.11842662573949789	NA	NA	nobound	427	all	5_5	1	selection	5000	5000	nav	4_4	218	heffen	0.14376422791655805	BOW
heffen.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	-0.018041703898304395	-0.8550449722498054	NA	NA	nobound	427	all	5_5	1	selection	5000	5000	all	4_4	218	heffen	0.15292430321554534	BOW
heffen.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.050205454078799616	-0.06277045783407705	NA	NA	nobound	427	all	5_5	1	selection	FOC	221	nav	4_4	218	heffen	0.08972439005383612	BOW
heffen.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.08770108719224634	-0.0651242865928001	NA	NA	nobound	427	all	5_5	1	selection	FOC	427	all	4_4	218	heffen	0.09966686309963924	BOW
heffen.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	-0.8342725626166021	0.21315619336762848	NA	NA	nobound	698	all	5_5	1	no	5000	5000	nav	4_4	218	heffen	0.14985200945126384	BOW
heffen.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	-1.3083744781537832	-0.4994885886445322	NA	NA	nobound	698	all	5_5	1	no	5000	5000	all	4_4	218	heffen	0.15721370029754972	BOW
heffen.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.4159077414913721	-0.011957840568149995	NA	NA	nobound	698	all	5_5	1	no	FOC	375	nav	4_4	218	heffen	0.10946508007173016	BOW
heffen.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.46322341484313345	-0.02668398747357897	NA	NA	nobound	698	all	5_5	1	no	FOC	698	all	4_4	218	heffen	0.11980540551577257	BOW
