_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base	soc_vector	pam_cluster	is_medoid
staal.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	-0.06970523648009228	0.04494647534451219	1	FOC	318	310	staal	NA	NA	bound	542	all	3_3	no	nav	4_4	0.15860244021249953	BOW	nav_FOC	c3	0
staal.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	-0.049422617515481354	0.024280530218350475	1	FOC	542	310	staal	NA	NA	bound	542	all	3_3	no	all	4_4	0.16435806359965677	BOW	all_FOC	c3	0
staal.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.2090250775029613	-0.019269681986758744	1	5000	5000	311	staal	NA	NA	nobound	715	lex	10_10	weight	nav	4_4	0.1038770912858728	BOW	nav_5000	c1	0
staal.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.0056452288449888996	-0.28435853323142957	1	5000	5000	311	staal	NA	NA	nobound	715	lex	10_10	weight	all	4_4	0.1913139419038953	BOW	all_5000	c2	0
staal.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.22357102600276496	-0.006668092966824312	1	FOC	553	311	staal	NA	NA	nobound	715	lex	10_10	weight	nav	4_4	0.10997464408584331	BOW	nav_FOC	c1	0
staal.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.22299695101419414	-0.010320757451794877	1	FOC	715	311	staal	NA	NA	nobound	715	lex	10_10	weight	all	4_4	0.10994252437495164	BOW	all_FOC	c1	0
staal.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.2063123019820371	-0.08024561131203123	1	5000	5000	311	staal	NA	NA	nobound	715	lex	10_10	selection	nav	4_4	0.1382019780580626	BOW	nav_5000	c1	0
staal.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.008713198230530189	-0.4500994316532242	1	5000	5000	311	staal	NA	NA	nobound	715	lex	10_10	selection	all	4_4	0.18874830520523572	BOW	all_5000	c2	0
staal.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.22546870117101966	-0.042603052441635175	1	FOC	553	311	staal	NA	NA	nobound	715	lex	10_10	selection	nav	4_4	0.11434698704255138	BOW	nav_FOC	c1	0
staal.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.2200016777649273	-0.042994629198095456	1	FOC	715	311	staal	NA	NA	nobound	715	lex	10_10	selection	all	4_4	0.1129421913115142	BOW	all_FOC	c1	1
staal.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.22776815112082766	-0.10897792949142937	1	5000	5000	311	staal	NA	NA	nobound	1376	lex	10_10	no	nav	4_4	0.1297089991713718	BOW	nav_5000	c1	0
staal.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	0.05467522390578803	-0.5165650444026306	1	5000	5000	311	staal	NA	NA	nobound	1376	lex	10_10	no	all	4_4	0.16609193499545727	BOW	all_5000	c2	0
staal.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.22360358033882138	-0.06376325595653909	1	FOC	1041	311	staal	NA	NA	nobound	1376	lex	10_10	no	nav	4_4	0.11508253654667708	BOW	nav_FOC	c1	0
staal.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.21769738965184363	-0.0653306188288825	1	FOC	1376	311	staal	NA	NA	nobound	1376	lex	10_10	no	all	4_4	0.11454605908948513	BOW	all_FOC	c1	0
staal.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.16023110039193253	-0.027992501679990487	1	5000	5000	311	staal	NA	NA	nobound	915	all	10_10	weight	nav	4_4	0.09563546477946412	BOW	nav_5000	c1	0
staal.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	0.11996190064714075	-0.23107611385674026	1	5000	5000	311	staal	NA	NA	nobound	915	all	10_10	weight	all	4_4	0.187471447483188	BOW	all_5000	c4	0
staal.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.20547208633744174	-0.0030141337330647695	1	FOC	553	311	staal	NA	NA	nobound	915	all	10_10	weight	nav	4_4	0.10287145111338991	BOW	nav_FOC	c1	0
staal.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.1916884008302213	-0.02542454359559644	1	FOC	915	311	staal	NA	NA	nobound	915	all	10_10	weight	all	4_4	0.10626958739276735	BOW	all_FOC	c1	0
