_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base
hoop.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.8845388753014264	0.279161805262773	1	5000	5000	286	hoop	NA	NA	nobound	374	lex	5_5	weight	nav	4_4	0.2565177378129946	BOW
hoop.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.9502839898169025	-0.1919969038333536	1	5000	5000	286	hoop	NA	NA	nobound	374	lex	5_5	weight	all	4_4	0.19899414013915553	BOW
hoop.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.9306865414576548	0.650234055692401	1	FOC	276	286	hoop	NA	NA	nobound	374	lex	5_5	weight	nav	4_4	0.2543556297496098	BOW
hoop.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.8815716692189118	0.5651958525355478	1	FOC	374	286	hoop	NA	NA	nobound	374	lex	5_5	weight	all	4_4	0.25599807360195365	BOW
hoop.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-1.1699639809800353	0.310845904108103	1	5000	5000	286	hoop	NA	NA	nobound	374	lex	5_5	selection	nav	4_4	0.26121298192156645	BOW
hoop.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-1.230792554181712	-0.2102825764173936	1	5000	5000	286	hoop	NA	NA	nobound	374	lex	5_5	selection	all	4_4	0.20136273308286276	BOW
hoop.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-1.0965536935312747	0.4828434908203303	1	FOC	276	286	hoop	NA	NA	nobound	374	lex	5_5	selection	nav	4_4	0.24938847359843971	BOW
hoop.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-1.056814634797844	0.4378197705247906	1	FOC	374	286	hoop	NA	NA	nobound	374	lex	5_5	selection	all	4_4	0.24662599447397085	BOW
hoop.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-1.9724507945092162	0.4506718348760184	1	5000	5000	308	hoop	NA	NA	nobound	725	lex	5_5	no	nav	4_4	0.24761775725001764	BOW
hoop.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	-2.379149084381237	-0.23413480507429354	1	5000	5000	308	hoop	NA	NA	nobound	725	lex	5_5	no	all	4_4	0.21412086427251592	BOW
hoop.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.8019387330421575	0.4880738975197408	1	FOC	561	308	hoop	NA	NA	nobound	725	lex	5_5	no	nav	4_4	0.2558029283066456	BOW
