_model	model.x	model.y	minimum_contextwords	focc_part_of_speech	focc_sent_bound	socc_corpus	socc_length	socc_length_num	socc_window	focc_token_window	tokens	type	focc_weighting	stress
church_nocomp.10_10.nvjid.ppmi.nobound.s.5_5.5000.2	-0.3150547512847904	0.1149863964168508	2	nvjid	FALSE	s	5000	843	5_5	10_10	248	church_nocomp	ppmi	0.2862518646131563
church_nocomp.10_10.nvjid.ppmi.nobound.s.5_5.5000.3	-0.16049749007756772	0.16672509705383026	3	nvjid	FALSE	s	5000	843	5_5	10_10	248	church_nocomp	ppmi	0.28417693606651667
church_nocomp.10_10.nvjid.ppmi.nobound.s.5_5.10000.2	-0.16198669414765926	0.16420403334232786	2	nvjid	FALSE	s	10000	843	5_5	10_10	248	church_nocomp	ppmi	0.284555915423636
church_nocomp.10_10.nvjid.ppmi.nobound.s.5_5.10000.3	-0.13370126879784944	0.16792354365195325	3	nvjid	FALSE	s	10000	843	5_5	10_10	248	church_nocomp	ppmi	0.2844648539352535
church_nocomp.10_10.nvjid.ppmi.nobound.s.5_5.focc.2	-0.1560809088397502	0.1594210308598414	2	nvjid	FALSE	s	focc	843	5_5	10_10	248	church_nocomp	ppmi	0.28383208829073137
church_nocomp.10_10.nvjid.ppmi.nobound.s.5_5.focc.3	-0.14329411498835148	0.1510522773584366	3	nvjid	FALSE	s	focc	843	5_5	10_10	248	church_nocomp	ppmi	0.28484285403864623
church_nocomp.5_5.nvjid.noweight.nobound.s.5_5.5000.2	0.270870806128167	-0.08184243427979979	2	nvjid	FALSE	s	5000	5000	5_5	5_5	249	church_nocomp	noweight	0.24943769020375686
church_nocomp.5_5.nvjid.noweight.nobound.s.5_5.5000.3	0.256322274552701	-0.07806114896101288	3	nvjid	FALSE	s	5000	5000	5_5	5_5	245	church_nocomp	noweight	0.25228635654760356
church_nocomp.5_5.nvjid.noweight.nobound.s.5_5.10000.2	0.07963116795176803	0.25418698917157023	2	nvjid	FALSE	s	10000	10000	5_5	5_5	249	church_nocomp	noweight	0.23811752544606657
church_nocomp.5_5.nvjid.noweight.nobound.s.5_5.10000.3	0.27787015533941095	-0.1210903548194885	3	nvjid	FALSE	s	10000	10000	5_5	5_5	245	church_nocomp	noweight	0.23778606185265674
church_nocomp.5_5.nvjid.noweight.nobound.s.5_5.focc.2	0.05351975873946539	-0.4980997132674081	2	nvjid	FALSE	s	focc	31607	5_5	5_5	249	church_nocomp	noweight	0.21114251434292253
church_nocomp.5_5.nvjid.noweight.nobound.s.5_5.focc.3	-0.03858070025382832	0.3102233554324376	3	nvjid	FALSE	s	focc	31607	5_5	5_5	245	church_nocomp	noweight	0.20790421537007295
church_nocomp.10_10.nvjid.noweight.nobound.s.5_5.5000.2	0.13564980244580943	0.11796837655565798	2	nvjid	FALSE	s	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.2558709489526868
church_nocomp.10_10.nvjid.noweight.nobound.s.5_5.5000.3	0.13936995531757979	0.0994752664845399	3	nvjid	FALSE	s	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.2544687806084466
church_nocomp.10_10.nvjid.noweight.nobound.s.5_5.10000.2	0.2983004561625524	0.0959432749261782	2	nvjid	FALSE	s	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.26248944697475096
church_nocomp.10_10.nvjid.noweight.nobound.s.5_5.10000.3	0.17866884066323133	0.1563305309484072	3	nvjid	FALSE	s	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.25938396153574594
church_nocomp.10_10.nvjid.noweight.nobound.s.5_5.focc.2	0.5668285294728239	0.035534988628466005	2	nvjid	FALSE	s	focc	31607	5_5	10_10	249	church_nocomp	noweight	0.2484377163234263
church_nocomp.10_10.nvjid.noweight.nobound.s.5_5.focc.3	0.566822114561302	0.035575696330695065	3	nvjid	FALSE	s	focc	31607	5_5	10_10	249	church_nocomp	noweight	0.2484377163234263
church_nocomp.5_5.none.ppmi.nobound.s.5_5.5000.2	-0.26726053174373127	0.32306797213747185	2	none	FALSE	s	5000	946	5_5	5_5	248	church_nocomp	ppmi	0.2962989982362078
church_nocomp.5_5.none.ppmi.nobound.s.5_5.5000.3	-0.27238234262894306	0.32407247429468133	3	none	FALSE	s	5000	946	5_5	5_5	246	church_nocomp	ppmi	0.2976958718816313
church_nocomp.5_5.none.ppmi.nobound.s.5_5.10000.2	-0.28379133382756705	0.3348378771182528	2	none	FALSE	s	10000	946	5_5	5_5	248	church_nocomp	ppmi	0.2965512132067697
church_nocomp.5_5.none.ppmi.nobound.s.5_5.10000.3	-0.22581762088752125	0.24794639362145057	3	none	FALSE	s	10000	946	5_5	5_5	246	church_nocomp	ppmi	0.296735985147224
church_nocomp.5_5.none.ppmi.nobound.s.5_5.focc.2	-0.2066661739987721	0.19902638573067438	2	none	FALSE	s	focc	946	5_5	5_5	248	church_nocomp	ppmi	0.2971527305806486
church_nocomp.5_5.none.ppmi.nobound.s.5_5.focc.3	-0.23565201775190286	0.16598149823864047	3	none	FALSE	s	focc	946	5_5	5_5	246	church_nocomp	ppmi	0.2979835461010642
church_nocomp.10_10.none.ppmi.nobound.s.5_5.5000.2	-0.17003137742366314	0.05166845685128931	2	none	FALSE	s	5000	946	5_5	10_10	249	church_nocomp	ppmi	0.2851145935265769
church_nocomp.10_10.none.ppmi.nobound.s.5_5.5000.3	-0.26197836451014345	0.2516320674563537	3	none	FALSE	s	5000	946	5_5	10_10	249	church_nocomp	ppmi	0.28438424544406177
church_nocomp.10_10.none.ppmi.nobound.s.5_5.10000.2	-0.21960734629844203	0.2889111658961303	2	none	FALSE	s	10000	946	5_5	10_10	249	church_nocomp	ppmi	0.28425651479768127
