_model	model.x	model.y	minimum_contextwords	foc_part_of_speech	foc_sent_bound	soc_corpus	soc_length	soc_length_num	soc_window	foc_token_window	tokens	type	foc_weighting	stress
church_nocomp.10_10.nvj.ppmi.nobound.COHA.5_5.10000.3	0.27937216085670175	-0.14765812322289962	3	nvj	False	COHA	10000	10000	5_5	10_10	189	church_nocomp	ppmi	0.2376341435171674
church_nocomp.10_10.nvj.ppmi.nobound.COHA.5_5.focc.3	0.26148915889320157	-0.13691002185135273	3	nvj	False	COHA	focc	4210	5_5	10_10	189	church_nocomp	ppmi	0.24457133928090494
church_nocomp.10_10.nvj.ppmi.nobound.COHA.10_10.5000.3	0.2972032575567268	-0.1247264554175008	3	nvj	False	COHA	5000	5000	10_10	10_10	189	church_nocomp	ppmi	0.22229507200019064
church_nocomp.10_10.nvj.ppmi.nobound.COHA.10_10.10000.3	0.2797705828593496	-0.15060742448148068	3	nvj	False	COHA	10000	10000	10_10	10_10	189	church_nocomp	ppmi	0.22778094435187354
church_nocomp.10_10.nvj.ppmi.nobound.COHA.10_10.focc.3	0.27817786412677026	-0.1668027898844032	3	nvj	False	COHA	focc	4210	10_10	10_10	189	church_nocomp	ppmi	0.24100572910836857
church_nocomp.10_10.nvj.noweight.nobound.COHA.5_5.5000.2	0.013900141228920282	1.392233087945492e-4	2	nvj	False	COHA	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.23407025560794015
church_nocomp.10_10.nvj.noweight.nobound.COHA.5_5.10000.2	0.047597522328311374	0.008409431546474843	2	nvj	False	COHA	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.23916379507449864
church_nocomp.10_10.nvj.noweight.nobound.COHA.5_5.focc.2	-0.0065337118826126585	0.04930659299884866	2	nvj	False	COHA	focc	24438	5_5	10_10	249	church_nocomp	noweight	0.2570125666321742
church_nocomp.10_10.nvj.noweight.nobound.COHA.10_10.5000.2	0.03653754204338844	-0.021142975368450508	2	nvj	False	COHA	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.2204076292736411
church_nocomp.10_10.nvj.noweight.nobound.COHA.10_10.10000.2	0.07706768146812969	-0.061023930425503387	2	nvj	False	COHA	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.22527558588255905
church_nocomp.10_10.nvj.noweight.nobound.COHA.10_10.focc.2	0.05926878138405527	-0.10227134559300603	2	nvj	False	COHA	focc	24438	10_10	10_10	249	church_nocomp	noweight	0.24328545077297076
church_nocomp.10_10.nvj.noweight.nobound.COHA.5_5.5000.3	0.0410909871793184	0.009474737947891918	3	nvj	False	COHA	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.2326693826698305
church_nocomp.10_10.nvj.noweight.nobound.COHA.5_5.10000.3	0.05756689851813919	7.68176324402807e-4	3	nvj	False	COHA	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.23938351837104993
church_nocomp.10_10.nvj.noweight.nobound.COHA.5_5.focc.3	-0.04176518407319109	0.0841619107116141	3	nvj	False	COHA	focc	24438	5_5	10_10	249	church_nocomp	noweight	0.2580463016467492
church_nocomp.10_10.nvj.noweight.nobound.COHA.10_10.5000.3	0.04280085125794172	-0.024401147772891922	3	nvj	False	COHA	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.22069700610137957
church_nocomp.10_10.nvj.noweight.nobound.COHA.10_10.10000.3	0.07288578734062974	-0.0510692524363977	3	nvj	False	COHA	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.22652927897267475
church_nocomp.10_10.nvj.noweight.nobound.COHA.10_10.focc.3	0.08612687455897615	-0.14591872673106154	3	nvj	False	COHA	focc	24438	10_10	10_10	249	church_nocomp	noweight	0.2433091319181994
church_nocomp.10_10.nvjid.ppmi.nobound.COHA.5_5.5000.2	0.23644123925302843	-0.17342592155057157	2	nvjid	False	COHA	5000	5000	5_5	10_10	246	church_nocomp	ppmi	0.2351190383539996
church_nocomp.10_10.nvjid.ppmi.nobound.COHA.5_5.10000.2	0.21369059811924304	-0.19759949481671724	2	nvjid	False	COHA	10000	10000	5_5	10_10	246	church_nocomp	ppmi	0.2365781974926078
church_nocomp.10_10.nvjid.ppmi.nobound.COHA.5_5.focc.2	0.21844630530988826	-0.1713150125235454	2	nvjid	False	COHA	focc	4276	5_5	10_10	246	church_nocomp	ppmi	0.24153719999169648
church_nocomp.10_10.nvjid.ppmi.nobound.COHA.10_10.5000.2	0.2341795982887548	-0.19674403210664224	2	nvjid	False	COHA	5000	5000	10_10	10_10	246	church_nocomp	ppmi	0.21889258991052496
church_nocomp.10_10.nvjid.ppmi.nobound.COHA.10_10.10000.2	0.2481483611290825	-0.20193273423469973	2	nvjid	False	COHA	10000	10000	10_10	10_10	246	church_nocomp	ppmi	0.2250574377548972
church_nocomp.10_10.nvjid.ppmi.nobound.COHA.10_10.focc.2	0.24241827160851764	-0.21059628064396818	2	nvjid	False	COHA	focc	4276	10_10	10_10	246	church_nocomp	ppmi	0.236050537505634
church_nocomp.10_10.nvjid.ppmi.nobound.COHA.5_5.5000.3	0.2132606148574733	-0.1628779085236879	3	nvjid	False	COHA	5000	5000	5_5	10_10	243	church_nocomp	ppmi	0.23420264444572006
church_nocomp.10_10.nvjid.ppmi.nobound.COHA.5_5.10000.3	0.21805831384239258	-0.18213537141100894	3	nvjid	False	COHA	10000	10000	5_5	10_10	243	church_nocomp	ppmi	0.23594890505353977
church_nocomp.10_10.nvjid.ppmi.nobound.COHA.5_5.focc.3	0.19765408924358496	-0.19580995382331565	3	nvjid	False	COHA	focc	4276	5_5	10_10	243	church_nocomp	ppmi	0.24072684210833456
church_nocomp.10_10.nvjid.ppmi.nobound.COHA.10_10.5000.3	0.24726783437847516	-0.1714946692449541	3	nvjid	False	COHA	5000	5000	10_10	10_10	243	church_nocomp	ppmi	0.21898192207419423
church_nocomp.10_10.nvjid.ppmi.nobound.COHA.10_10.10000.3	0.2507703968694686	-0.1993352276158458	3	nvjid	False	COHA	10000	10000	10_10	10_10	243	church_nocomp	ppmi	0.22430230479757832
church_nocomp.10_10.nvjid.ppmi.nobound.COHA.10_10.focc.3	0.23197814453532528	-0.20082142919253781	3	nvjid	False	COHA	focc	4276	10_10	10_10	243	church_nocomp	ppmi	0.2363436071691201
